<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.IMOEX,D,20220805,000000,2120.1300000,2124.6000000,2052.0800000,2054.2900000,36914423132
RI.IMOEX,D,20220808,000000,2106.5000000,2119.4100000,2086.9800000,2088.4000000,27917568414
RI.IMOEX,D,20220809,000000,2090.3700000,2136.8000000,2071.7200000,2136.8000000,26430865725
RI.IMOEX,D,20220810,000000,2138.8100000,2158.8700000,2128.5900000,2151.5000000,27211788972
RI.IMOEX,D,20220811,000000,2157.1700000,2174.9000000,2128.3800000,2133.1100000,29532507499
RI.IMOEX,D,20220812,000000,2133.9300000,2150.9000000,2117.0800000,2147.3300000,21692844180
RI.IMOEX,D,20220815,000000,2147.7600000,2165.7500000,2139.4500000,2165.1200000,22652041721
RI.IMOEX,D,20220816,000000,2172.4000000,2208.3300000,2168.0600000,2208.3300000,27558426613
RI.IMOEX,D,20220817,000000,2213.4300000,2225.0500000,2186.8600000,2188.5600000,28022258196
RI.IMOEX,D,20220818,000000,2188.4200000,2197.9200000,2176.0200000,2194.3100000,19291595636
RI.IMOEX,D,20220819,000000,2199.6000000,2199.6000000,2179.5600000,2195.1600000,19366430497
RI.IMOEX,D,20220822,000000,2193.2900000,2231.2200000,2187.0400000,2228.1100000,25544070732
RI.IMOEX,D,20220823,000000,2230.7400000,2261.5900000,2230.7400000,2260.0800000,34088601334
RI.IMOEX,D,20220824,000000,2263.5700000,2273.6500000,2243.0800000,2248.2200000,25166474196
RI.IMOEX,D,20220825,000000,2249.3900000,2266.1800000,2234.8700000,2246.3400000,24464796373
RI.IMOEX,D,20220826,000000,2248.9800000,2268.8900000,2239.6600000,2268.8900000,18050718922
RI.IMOEX,D,20220829,000000,2267.4300000,2296.3300000,2263.9900000,2296.3300000,26847600721
RI.IMOEX,D,20220830,000000,2299.2800000,2314.5300000,2292.4400000,2306.6200000,50429416062
RI.IMOEX,D,20220831,000000,2377.0200000,2423.1200000,2368.4200000,2400.0800000,102098759608
RI.IMOEX,D,20220901,000000,2401.9800000,2448.5000000,2380.0100000,2445.7700000,56971990002
RI.IMOEX,D,20220902,000000,2443.7600000,2474.7100000,2431.5400000,2471.4500000,63549817077
RI.IMOEX,D,20220905,000000,2472.1000000,2488.4400000,2440.8800000,2488.4400000,45737756781
RI.IMOEX,D,20220906,000000,2487.7600000,2492.1500000,2382.2400000,2425.3300000,64401784109
RI.IMOEX,D,20220907,000000,2422.8800000,2436.6400000,2394.5600000,2401.5700000,39163915229
RI.IMOEX,D,20220908,000000,2397.5900000,2407.3900000,2378.3000000,2390.2700000,33761810920
RI.IMOEX,D,20220909,000000,2391.6900000,2426.8100000,2391.6900000,2426.0600000,30025709989
RI.IMOEX,D,20220912,000000,2419.7700000,2465.2200000,2413.5500000,2449.6500000,35655667047
RI.IMOEX,D,20220913,000000,2459.7500000,2465.5500000,2438.8000000,2446.8900000,28760541143
RI.IMOEX,D,20220914,000000,2439.9600000,2439.9600000,2400.1400000,2435.8900000,34368012331
RI.IMOEX,D,20220915,000000,2434.7900000,2457.0200000,2418.3000000,2446.5900000,35943168299
RI.IMOEX,D,20220916,000000,2446.0900000,2469.0200000,2427.6800000,2431.6100000,39143735401
RI.IMOEX,D,20220919,000000,2436.4800000,2453.0300000,2427.1900000,2430.5400000,25949236593
RI.IMOEX,D,20220920,000000,2430.5300000,2436.3000000,2171.9200000,2215.6700000,119818881585
